,CGB
2018-01-02 04:59:00,14430.2617108
2018-01-02 05:00:00,14515.5644108
2018-01-02 05:01:00,14515.5644108
2018-01-02 05:02:00,14521.6574608
2018-01-02 05:03:00,14521.6574608
2018-01-02 05:04:00,14533.8435607
2018-01-02 05:05:00,14539.9366108
2018-01-02 05:06:00,14552.1227108
2018-01-02 05:07:00,14539.9366108
2018-01-02 05:08:00,14521.6574608
2018-01-02 05:09:00,14515.5644108
2018-01-02 05:10:00,14515.5644108
2018-01-02 05:11:00,14509.4713607
2018-01-02 05:12:00,14509.4713607
2018-01-02 05:13:00,14497.2852607
2018-01-02 05:14:00,14509.4713607
2018-01-02 05:15:00,14497.2852607
2018-01-02 05:16:00,14479.0061107
2018-01-02 05:17:00,14485.0991608
2018-01-02 05:18:00,14472.9130607
2018-01-02 05:19:00,14454.6339108
2018-01-02 05:20:00,14454.6339108
2018-01-02 05:21:00,14454.6339108
2018-01-02 05:22:00,14454.6339108
2018-01-02 05:23:00,14454.6339108
2018-01-02 05:24:00,14454.6339108
2018-01-02 05:25:00,14454.6339108
2018-01-02 05:26:00,14442.4478108
2018-01-02 05:27:00,14430.2617107
2018-01-02 05:28:00,14436.3547608
2018-01-02 05:29:00,14436.3547608
2018-01-02 05:30:00,14436.3547608
2018-01-02 05:31:00,14436.3547608
2018-01-02 05:32:00,14436.3547608
2018-01-02 05:33:00,14436.3547608
2018-01-02 05:34:00,14436.3547608
2018-01-02 05:35:00,14436.3547608
2018-01-02 05:36:00,14430.2617107
2018-01-02 05:37:00,14424.1686608
2018-01-02 05:38:00,14424.1686608
2018-01-02 05:39:00,14424.1686608
2018-01-02 05:40:00,14442.4478108
2018-01-02 05:41:00,14472.9130607
2018-01-02 05:42:00,14472.9130607
2018-01-02 05:43:00,14472.9130607
2018-01-02 05:44:00,14491.1922107
2018-01-02 05:45:00,14479.0061107
2018-01-02 05:46:00,14460.7269608
2018-01-02 05:47:00,14442.4478108
2018-01-02 05:48:00,14448.5408607
2018-01-02 05:49:00,14442.4478108
2018-01-02 05:50:00,14436.3547608
2018-01-02 05:51:00,14448.5408607
2018-01-02 05:52:00,14448.5408607
2018-01-02 05:53:00,14454.6339108
2018-01-02 05:54:00,14466.8200108
2018-01-02 05:55:00,14454.6339108
